ScaleId,Name,Slug,Gauge,Ratio,TrackGauge
"75a3dc93-9f10-4cbf-a70f-ae57b784b038","H0","h0",16.5,87,"Standard"
"9b204db4-ed7c-4eae-aec0-d2ed275e4660","n","n",9,160,"Standard"
"9fbde41c-be19-4208-8e69-85e1e12b2660","Nm","nm",6.5,160,"Narrow"
"a926194b-220a-4a9c-8e55-89ebf52c65e0","Ne","ne",4.5,160,"Narrow"
"fb7ab3fc-5f15-4e2c-a8d3-7ef2e615dae8","1","1",45,32,"Standard"
"efc1fdb5-93aa-4a52-bbce-5ab67e92980c","0","0",32,43.5,"Standard"
"02790f5e-8edc-43f6-8ac1-4c906805d9ba","Z","z",6.5,220,"Standard"
"374f5bb7-e7d1-4995-aa34-072b6b6500f9","TT","tt",12,120,"Standard"
"0dd13f9d-d730-41bb-b4e9-33218ea14fbc","H0m","h0m",12,87,"Narrow"
"b5f2f033-a947-4b86-9d9e-52d7c1903ce0","H0e","h0e",9,87,"Narrow"
"fda06399-6f53-4c57-80bf-755f204fc668","G","g",45,22.5,"Narrow"